"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:22:04.970","0x1B","0x01","False","False","False","False","359078","0","VK_ESCAPE","Escキー"
"08/31 18:22:05.029","0x1B","0x01","False","False","False","True","359140","0","VK_ESCAPE","Escキー"
"08/31 18:22:05.868","0x70","0x3B","False","False","False","False","359984","0","VK_F1","F1キー"
"08/31 18:22:05.955","0x70","0x3B","False","False","False","True","360078","0","VK_F1","F1キー"
"08/31 18:22:06.318","0x71","0x3C","False","False","False","False","360437","0","VK_F2","F2キー"
"08/31 18:22:06.404","0x71","0x3C","False","False","False","True","360515","0","VK_F2","F2キー"
"08/31 18:22:06.733","0x72","0x3D","False","False","False","False","360843","0","VK_F3","F3キー"
"08/31 18:22:06.812","0x72","0x3D","False","False","False","True","360937","0","VK_F3","F3キー"
"08/31 18:22:07.149","0x73","0x3E","False","False","False","False","361265","0","VK_F4","F4キー"
"08/31 18:22:07.228","0x73","0x3E","False","False","False","True","361343","0","VK_F4","F4キー"
"08/31 18:22:07.533","0x74","0x3F","False","False","False","False","361656","0","VK_F5","F5キー"
"08/31 18:22:07.619","0x74","0x3F","False","False","False","True","361734","0","VK_F5","F5キー"
"08/31 18:22:07.929","0x75","0x40","False","False","False","False","362046","0","VK_F6","F6キー"
"08/31 18:22:08.048","0x75","0x40","False","False","False","True","362171","0","VK_F6","F6キー"
"08/31 18:22:08.334","0x76","0x41","False","False","False","False","362453","0","VK_F7","F7キー"
"08/31 18:22:08.421","0x76","0x41","False","False","False","True","362546","0","VK_F7","F7キー"
"08/31 18:22:08.654","0x77","0x42","False","False","False","False","362765","0","VK_F8","F8キー"
"08/31 18:22:08.733","0x77","0x42","False","False","False","True","362843","0","VK_F8","F8キー"
"08/31 18:22:09.008","0x78","0x43","False","False","False","False","363125","0","VK_F9","F9キー"
"08/31 18:22:09.094","0x78","0x43","False","False","False","True","363218","0","VK_F9","F9キー"
"08/31 18:22:09.339","0x79","0x44","False","False","False","False","363453","0","VK_F10","F10キー"
"08/31 18:22:09.419","0x79","0x44","False","False","False","True","363531","0","VK_F10","F10キー"
"08/31 18:22:09.683","0x7A","0x57","False","False","False","False","363796","0","VK_F11","F11キー"
"08/31 18:22:09.769","0x7A","0x57","False","False","False","True","363890","0","VK_F11","F11キー"
"08/31 18:22:10.031","0x7B","0x58","False","False","False","False","364156","0","VK_F12","F12キー"
"08/31 18:22:10.095","0x7B","0x58","False","False","False","True","364218","0","VK_F12","F12キー"
"08/31 18:22:10.448","0x24","0x47","True","False","False","False","364562","0","VK_HOME","Homeキー"
"08/31 18:22:10.535","0x24","0x47","True","False","False","True","364656","0","VK_HOME","Homeキー"
"08/31 18:22:10.808","0x23","0x4F","True","False","False","False","364921","0","VK_END","Endキー"
"08/31 18:22:10.886","0x23","0x4F","True","False","False","True","365000","0","VK_END","Endキー"
"08/31 18:22:11.146","0x2E","0x53","True","False","False","False","365265","0","VK_DELETE","Deleteキー"
"08/31 18:22:11.209","0x2E","0x53","True","False","False","True","365328","0","VK_DELETE","Deleteキー"
"08/31 18:22:12.100","0xC0","0x29","False","False","False","False","366218","0","VK_OEM_3","OEM3キー"
"08/31 18:22:12.179","0xC0","0x29","False","False","False","True","366296","0","VK_OEM_3","OEM3キー"
"08/31 18:22:12.421","0x31","0x02","False","False","False","False","366546","0","VK_1","1キー"
"08/31 18:22:12.492","0x31","0x02","False","False","False","True","366609","0","VK_1","1キー"
"08/31 18:22:12.721","0x32","0x03","False","False","False","False","366843","0","VK_2","2キー"
"08/31 18:22:12.791","0x32","0x03","False","False","False","True","366906","0","VK_2","2キー"
"08/31 18:22:13.042","0x33","0x04","False","False","False","False","367156","0","VK_3","3キー"
"08/31 18:22:13.112","0x33","0x04","False","False","False","True","367234","0","VK_3","3キー"
"08/31 18:22:13.366","0x34","0x05","False","False","False","False","367484","0","VK_4","4キー"
"08/31 18:22:13.429","0x34","0x05","False","False","False","True","367546","0","VK_4","4キー"
"08/31 18:22:13.708","0x35","0x06","False","False","False","False","367828","0","VK_5","5キー"
"08/31 18:22:13.771","0x35","0x06","False","False","False","True","367890","0","VK_5","5キー"
"08/31 18:22:14.037","0x36","0x07","False","False","False","False","368156","0","VK_6","6キー"
"08/31 18:22:14.107","0x36","0x07","False","False","False","True","368218","0","VK_6","6キー"
"08/31 18:22:14.375","0x37","0x08","False","False","False","False","368500","0","VK_7","7キー"
"08/31 18:22:14.438","0x37","0x08","False","False","False","True","368562","0","VK_7","7キー"
"08/31 18:22:14.725","0x38","0x09","False","False","False","False","368843","0","VK_8","8キー"
"08/31 18:22:14.804","0x38","0x09","False","False","False","True","368921","0","VK_8","8キー"
"08/31 18:22:15.111","0x39","0x0A","False","False","False","False","369234","0","VK_9","9キー"
"08/31 18:22:15.189","0x39","0x0A","False","False","False","True","369312","0","VK_9","9キー"
"08/31 18:22:15.519","0x30","0x0B","False","False","False","False","369640","0","VK_0","0キー"
"08/31 18:22:15.606","0x30","0x0B","False","False","False","True","369718","0","VK_0","0キー"
"08/31 18:22:15.898","0xBD","0x0C","False","False","False","False","370015","0","VK_OEM_MINUS","-キー"
"08/31 18:22:15.969","0xBD","0x0C","False","False","False","True","370093","0","VK_OEM_MINUS","-キー"
"08/31 18:22:16.272","0xBB","0x0D","False","False","False","False","370390","0","VK_OEM_PLUS","+キー"
"08/31 18:22:16.343","0xBB","0x0D","False","False","False","True","370468","0","VK_OEM_PLUS","+キー"
"08/31 18:22:16.600","0xFF","0x7D","False","False","False","False","370718","0","",""
"08/31 18:22:16.687","0xFF","0x7D","False","False","False","True","370812","0","",""
"08/31 18:22:16.953","0x08","0x0E","False","False","False","False","371078","0","VK_BACK","Backspaceキー"
"08/31 18:22:17.000","0x08","0x0E","False","False","False","True","371125","0","VK_BACK","Backspaceキー"
"08/31 18:22:17.816","0x09","0x0F","False","False","False","False","371937","0","VK_TAB","Tabキー"
"08/31 18:22:17.879","0x09","0x0F","False","False","False","True","372000","0","VK_TAB","Tabキー"
"08/31 18:22:18.145","0x51","0x10","False","False","False","False","372265","0","VK_Q","Qキー"
"08/31 18:22:18.208","0x51","0x10","False","False","False","True","372328","0","VK_Q","Qキー"
"08/31 18:22:18.469","0x57","0x11","False","False","False","False","372593","0","VK_W","Wキー"
"08/31 18:22:18.540","0x57","0x11","False","False","False","True","372656","0","VK_W","Wキー"
"08/31 18:22:18.785","0x45","0x12","False","False","False","False","372906","0","VK_E","Eキー"
"08/31 18:22:18.855","0x45","0x12","False","False","False","True","372968","0","VK_E","Eキー"
"08/31 18:22:19.093","0x52","0x13","False","False","False","False","373218","0","VK_R","Rキー"
"08/31 18:22:19.156","0x52","0x13","False","False","False","True","373281","0","VK_R","Rキー"
"08/31 18:22:19.417","0x54","0x14","False","False","False","False","373531","0","VK_T","Tキー"
"08/31 18:22:19.488","0x54","0x14","False","False","False","True","373609","0","VK_T","Tキー"
"08/31 18:22:19.715","0x59","0x15","False","False","False","False","373828","0","VK_Y","Yキー"
"08/31 18:22:19.802","0x59","0x15","False","False","False","True","373921","0","VK_Y","Yキー"
"08/31 18:22:20.043","0x55","0x16","False","False","False","False","374156","0","VK_U","Uキー"
"08/31 18:22:20.114","0x55","0x16","False","False","False","True","374234","0","VK_U","Uキー"
"08/31 18:22:20.379","0x49","0x17","False","False","False","False","374500","0","VK_I","Iキー"
"08/31 18:22:20.473","0x49","0x17","False","False","False","True","374593","0","VK_I","Iキー"
"08/31 18:22:20.708","0x4F","0x18","False","False","False","False","374828","0","VK_O","Oキー"
"08/31 18:22:20.803","0x4F","0x18","False","False","False","True","374921","0","VK_O","Oキー"
"08/31 18:22:21.052","0x50","0x19","False","False","False","False","375171","0","VK_P","Pキー"
"08/31 18:22:21.147","0x50","0x19","False","False","False","True","375265","0","VK_P","Pキー"
"08/31 18:22:21.405","0xDB","0x1A","False","False","False","False","375515","0","VK_OEM_4","OEM4キー"
"08/31 18:22:21.491","0xDB","0x1A","False","False","False","True","375609","0","VK_OEM_4","OEM4キー"
"08/31 18:22:21.702","0xDD","0x1B","False","False","False","False","375812","0","VK_OEM_6","OEM6キー"
"08/31 18:22:21.781","0xDD","0x1B","False","False","False","True","375906","0","VK_OEM_6","OEM6キー"
"08/31 18:22:23.080","0x14","0x3A","False","False","False","False","377203","0","VK_CAPITAL","CapsLockキー"
"08/31 18:22:23.143","0x14","0x3A","False","False","False","True","377265","0","VK_CAPITAL","CapsLockキー"
"08/31 18:22:23.379","0x41","0x1E","False","False","False","False","377500","0","VK_A","Aキー"
"08/31 18:22:23.449","0x41","0x1E","False","False","False","True","377562","0","VK_A","Aキー"
"08/31 18:22:23.744","0x53","0x1F","False","False","False","False","377859","0","VK_S","Sキー"
"08/31 18:22:23.815","0x53","0x1F","False","False","False","True","377937","0","VK_S","Sキー"
"08/31 18:22:24.102","0x44","0x20","False","False","False","False","378218","0","VK_D","Dキー"
"08/31 18:22:24.173","0x44","0x20","False","False","False","True","378296","0","VK_D","Dキー"
"08/31 18:22:24.451","0x46","0x21","False","False","False","False","378562","0","VK_F","Fキー"
"08/31 18:22:24.513","0x46","0x21","False","False","False","True","378625","0","VK_F","Fキー"
"08/31 18:22:24.784","0x47","0x22","False","False","False","False","378906","0","VK_G","Gキー"
"08/31 18:22:24.847","0x47","0x22","False","False","False","True","378968","0","VK_G","Gキー"
"08/31 18:22:25.144","0x48","0x23","False","False","False","False","379265","0","VK_H","Hキー"
"08/31 18:22:25.207","0x48","0x23","False","False","False","True","379328","0","VK_H","Hキー"
"08/31 18:22:25.559","0x4A","0x24","False","False","False","False","379671","0","VK_J","Jキー"
"08/31 18:22:25.622","0x4A","0x24","False","False","False","True","379734","0","VK_J","Jキー"
"08/31 18:22:26.006","0x4B","0x25","False","False","False","False","380125","0","VK_K","Kキー"
"08/31 18:22:26.068","0x4B","0x25","False","False","False","True","380187","0","VK_K","Kキー"
"08/31 18:22:26.423","0x4C","0x26","False","False","False","False","380546","0","VK_L","Lキー"
"08/31 18:22:26.487","0x4C","0x26","False","False","False","True","380609","0","VK_L","Lキー"
"08/31 18:22:26.829","0xBA","0x27","False","False","False","False","380953","0","VK_OEM_1","OEM1キー"
"08/31 18:22:26.891","0xBA","0x27","False","False","False","True","381015","0","VK_OEM_1","OEM1キー"
"08/31 18:22:27.188","0xDE","0x28","False","False","False","False","381312","0","VK_OEM_7","OEM7キー"
"08/31 18:22:27.242","0xDE","0x28","False","False","False","True","381359","0","VK_OEM_7","OEM7キー"
"08/31 18:22:27.465","0xDC","0x2B","False","False","False","False","381578","0","VK_OEM_5","OEM5キー"
"08/31 18:22:27.519","0xDC","0x2B","False","False","False","True","381640","0","VK_OEM_5","OEM5キー"
"08/31 18:22:28.345","0xA0","0x2A","False","False","False","False","382468","0","VK_LSHIFT","左Shiftキー"
