"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:17:09.144","0x1B","0x01","False","False","False","False","63265","0","VK_ESCAPE","Escキー"
"08/31 18:17:09.363","0x70","0x3B","False","False","False","False","63484","0","VK_F1","F1キー"
"08/31 18:17:09.410","0x1B","0x01","False","False","False","True","63531","0","VK_ESCAPE","Escキー"
"08/31 18:17:09.457","0x71","0x3C","False","False","False","False","63578","0","VK_F2","F2キー"
"08/31 18:17:09.488","0x70","0x3B","False","False","False","True","63609","0","VK_F1","F1キー"
"08/31 18:17:09.519","0x72","0x3D","False","False","False","False","63640","0","VK_F3","F3キー"
"08/31 18:17:09.551","0x71","0x3C","False","False","False","True","63671","0","VK_F2","F2キー"
"08/31 18:17:09.582","0x73","0x3E","False","False","False","False","63703","0","VK_F4","F4キー"
"08/31 18:17:09.613","0x72","0x3D","False","False","False","True","63734","0","VK_F3","F3キー"
"08/31 18:17:09.676","0x74","0x3F","False","False","False","False","63796","0","VK_F5","F5キー"
"08/31 18:17:09.676","0x73","0x3E","False","False","False","True","63796","0","VK_F4","F4キー"
"08/31 18:17:09.722","0x75","0x40","False","False","False","False","63843","0","VK_F6","F6キー"
"08/31 18:17:09.769","0x74","0x3F","False","False","False","True","63859","0","VK_F5","F5キー"
"08/31 18:17:09.816","0x76","0x41","False","False","False","False","63890","0","VK_F7","F7キー"
"08/31 18:17:09.816","0x75","0x40","False","False","False","True","63937","0","VK_F6","F6キー"
"08/31 18:17:09.879","0x77","0x42","False","False","False","False","63953","0","VK_F8","F8キー"
"08/31 18:17:09.879","0x76","0x41","False","False","False","True","64000","0","VK_F7","F7キー"
"08/31 18:17:09.957","0x78","0x43","False","False","False","False","64046","0","VK_F9","F9キー"
"08/31 18:17:09.957","0x77","0x42","False","False","False","True","64078","0","VK_F8","F8キー"
"08/31 18:17:10.004","0x79","0x44","False","False","False","False","64093","0","VK_F10","F10キー"
"08/31 18:17:10.004","0x78","0x43","False","False","False","True","64125","0","VK_F9","F9キー"
"08/31 18:17:10.082","0x7A","0x57","False","False","False","False","64171","0","VK_F11","F11キー"
"08/31 18:17:10.082","0x79","0x44","False","False","False","True","64203","0","VK_F10","F10キー"
"08/31 18:17:10.144","0x7B","0x58","False","False","False","False","64234","0","VK_F12","F12キー"
"08/31 18:17:10.160","0x7A","0x57","False","False","False","True","64281","0","VK_F11","F11キー"
"08/31 18:17:10.217","0x24","0x47","True","False","False","False","64312","0","VK_HOME","Homeキー"
"08/31 18:17:10.223","0x7B","0x58","False","False","False","True","64343","0","VK_F12","F12キー"
"08/31 18:17:10.270","0x23","0x4F","True","False","False","False","64390","0","VK_END","Endキー"
"08/31 18:17:10.325","0x24","0x47","True","False","False","True","64437","0","VK_HOME","Homeキー"
"08/31 18:17:10.370","0x2E","0x53","True","False","False","False","64484","0","VK_DELETE","Deleteキー"
"08/31 18:17:10.435","0x23","0x4F","True","False","False","True","64531","0","VK_END","Endキー"
"08/31 18:17:10.567","0x2E","0x53","True","False","False","True","64687","0","VK_DELETE","Deleteキー"
"08/31 18:17:20.025","0xC0","0x29","False","False","False","False","74140","0","VK_OEM_3","OEM3キー"
"08/31 18:17:20.206","0x31","0x02","False","False","False","False","74328","0","VK_1","1キー"
"08/31 18:17:20.210","0xC0","0x29","False","False","False","True","74328","0","VK_OEM_3","OEM3キー"
"08/31 18:17:20.292","0x32","0x03","False","False","False","False","74406","0","VK_2","2キー"
"08/31 18:17:20.296","0x31","0x02","False","False","False","True","74406","0","VK_1","1キー"
"08/31 18:17:20.367","0x33","0x04","False","False","False","False","74484","0","VK_3","3キー"
"08/31 18:17:20.367","0x32","0x03","False","False","False","True","74484","0","VK_2","2キー"
"08/31 18:17:20.443","0x34","0x05","False","False","False","False","74546","0","VK_4","4キー"
"08/31 18:17:20.448","0x33","0x04","False","False","False","True","74562","0","VK_3","3キー"
"08/31 18:17:20.524","0x34","0x05","False","False","False","True","74593","0","VK_4","4キー"
"08/31 18:17:20.529","0x35","0x06","False","False","False","False","74640","0","VK_5","5キー"
"08/31 18:17:20.605","0x36","0x07","False","False","False","False","74656","0","VK_6","6キー"
"08/31 18:17:20.609","0x35","0x06","False","False","False","True","74734","0","VK_5","5キー"
"08/31 18:17:20.612","0x37","0x08","False","False","False","False","74734","0","VK_7","7キー"
"08/31 18:17:20.616","0x36","0x07","False","False","False","True","74734","0","VK_6","6キー"
"08/31 18:17:20.686","0x38","0x09","False","False","False","False","74781","0","VK_8","8キー"
"08/31 18:17:20.689","0x37","0x08","False","False","False","True","74812","0","VK_7","7キー"
"08/31 18:17:20.761","0x39","0x0A","False","False","False","False","74843","0","VK_9","9キー"
"08/31 18:17:20.765","0x38","0x09","False","False","False","True","74890","0","VK_8","8キー"
"08/31 18:17:20.837","0x30","0x0B","False","False","False","False","74906","0","VK_0","0キー"
"08/31 18:17:20.840","0x39","0x0A","False","False","False","True","74953","0","VK_9","9キー"
"08/31 18:17:20.846","0x30","0x0B","False","False","False","True","74968","0","VK_0","0キー"
"08/31 18:17:20.848","0xBD","0x0C","False","False","False","False","74968","0","VK_OEM_MINUS","-キー"
"08/31 18:17:20.921","0xBD","0x0C","False","False","False","True","75031","0","VK_OEM_MINUS","-キー"
"08/31 18:17:20.925","0xBB","0x0D","False","False","False","False","75046","0","VK_OEM_PLUS","+キー"
"08/31 18:17:20.999","0xFF","0x7D","False","False","False","False","75078","0","",""
"08/31 18:17:21.003","0xBB","0x0D","False","False","False","True","75125","0","VK_OEM_PLUS","+キー"
"08/31 18:17:21.070","0x08","0x0E","False","False","False","False","75140","0","VK_BACK","Backspaceキー"
"08/31 18:17:21.070","0xFF","0x7D","False","False","False","True","75187","0","",""
"08/31 18:17:21.162","0x08","0x0E","False","False","False","True","75281","0","VK_BACK","Backspaceキー"
"08/31 18:17:21.807","0x09","0x0F","False","False","False","False","75921","0","VK_TAB","Tabキー"
"08/31 18:17:21.987","0x09","0x0F","False","False","False","True","76109","0","VK_TAB","Tabキー"
"08/31 18:17:21.992","0x51","0x10","False","False","False","False","76109","0","VK_Q","Qキー"
"08/31 18:17:22.077","0x57","0x11","False","False","False","False","76187","0","VK_W","Wキー"
"08/31 18:17:22.078","0x51","0x10","False","False","False","True","76203","0","VK_Q","Qキー"
"08/31 18:17:22.152","0x45","0x12","False","False","False","False","76265","0","VK_E","Eキー"
"08/31 18:17:22.158","0x57","0x11","False","False","False","True","76281","0","VK_W","Wキー"
"08/31 18:17:22.222","0x52","0x13","False","False","False","False","76328","0","VK_R","Rキー"
"08/31 18:17:22.227","0x45","0x12","False","False","False","True","76343","0","VK_E","Eキー"
"08/31 18:17:22.287","0x54","0x14","False","False","False","False","76375","0","VK_T","Tキー"
"08/31 18:17:22.287","0x52","0x13","False","False","False","True","76406","0","VK_R","Rキー"
"08/31 18:17:22.350","0x59","0x15","False","False","False","False","76437","0","VK_Y","Yキー"
"08/31 18:17:22.357","0x54","0x14","False","False","False","True","76468","0","VK_T","Tキー"
"08/31 18:17:22.417","0x59","0x15","False","False","False","True","76484","0","VK_Y","Yキー"
"08/31 18:17:22.430","0x55","0x16","False","False","False","False","76546","0","VK_U","Uキー"
"08/31 18:17:22.430","0x49","0x17","False","False","False","False","76546","0","VK_I","Iキー"
"08/31 18:17:22.438","0x55","0x16","False","False","False","True","76562","0","VK_U","Uキー"
"08/31 18:17:22.497","0x4F","0x18","False","False","False","False","76609","0","VK_O","Oキー"
"08/31 18:17:22.502","0x49","0x17","False","False","False","True","76625","0","VK_I","Iキー"
"08/31 18:17:22.557","0x50","0x19","False","False","False","False","76671","0","VK_P","Pキー"
"08/31 18:17:22.567","0x4F","0x18","False","False","False","True","76687","0","VK_O","Oキー"
"08/31 18:17:22.627","0xDB","0x1A","False","False","False","False","76734","0","VK_OEM_4","OEM4キー"
"08/31 18:17:22.637","0x50","0x19","False","False","False","True","76750","0","VK_P","Pキー"
"08/31 18:17:22.702","0xDB","0x1A","False","False","False","True","76828","0","VK_OEM_4","OEM4キー"
"08/31 18:17:22.707","0xDD","0x1B","False","False","False","False","76828","0","VK_OEM_6","OEM6キー"
"08/31 18:17:22.837","0xDD","0x1B","False","False","False","True","76953","0","VK_OEM_6","OEM6キー"
"08/31 18:17:23.398","0x14","0x3A","False","False","False","False","77515","0","VK_CAPITAL","CapsLockキー"
"08/31 18:17:23.558","0x14","0x3A","False","False","False","True","77671","0","VK_CAPITAL","CapsLockキー"
"08/31 18:17:23.558","0x41","0x1E","False","False","False","False","77671","0","VK_A","Aキー"
"08/31 18:17:23.639","0x53","0x1F","False","False","False","False","77750","0","VK_S","Sキー"
"08/31 18:17:23.639","0x41","0x1E","False","False","False","True","77750","0","VK_A","Aキー"
"08/31 18:17:23.703","0x44","0x20","False","False","False","False","77828","0","VK_D","Dキー"
"08/31 18:17:23.706","0x53","0x1F","False","False","False","True","77828","0","VK_S","Sキー"
"08/31 18:17:23.764","0x46","0x21","False","False","False","False","77875","0","VK_F","Fキー"
"08/31 18:17:23.767","0x44","0x20","False","False","False","True","77890","0","VK_D","Dキー"
"08/31 18:17:23.830","0x47","0x22","False","False","False","False","77921","0","VK_G","Gキー"
"08/31 18:17:23.830","0x46","0x21","False","False","False","True","77953","0","VK_F","Fキー"
"08/31 18:17:23.902","0x48","0x23","False","False","False","False","77984","0","VK_H","Hキー"
"08/31 18:17:23.905","0x47","0x22","False","False","False","True","78015","0","VK_G","Gキー"
"08/31 18:17:23.909","0x48","0x23","False","False","False","True","78031","0","VK_H","Hキー"
"08/31 18:17:23.912","0x4A","0x24","False","False","False","False","78031","0","VK_J","Jキー"
"08/31 18:17:23.977","0x4B","0x25","False","False","False","False","78093","0","VK_K","Kキー"
"08/31 18:17:23.980","0x4A","0x24","False","False","False","True","78093","0","VK_J","Jキー"
"08/31 18:17:24.040","0x4C","0x26","False","False","False","False","78156","0","VK_L","Lキー"
"08/31 18:17:24.043","0x4B","0x25","False","False","False","True","78156","0","VK_K","Kキー"
"08/31 18:17:24.096","0xBA","0x27","False","False","False","False","78203","0","VK_OEM_1","OEM1キー"
"08/31 18:17:24.098","0x4C","0x26","False","False","False","True","78218","0","VK_L","Lキー"
"08/31 18:17:24.152","0xDE","0x28","False","False","False","False","78265","0","VK_OEM_7","OEM7キー"
"08/31 18:17:24.157","0xBA","0x27","False","False","False","True","78281","0","VK_OEM_1","OEM1キー"
"08/31 18:17:24.217","0xDC","0x2B","False","False","False","False","78328","0","VK_OEM_5","OEM5キー"
"08/31 18:17:24.217","0xDE","0x28","False","False","False","True","78328","0","VK_OEM_7","OEM7キー"
"08/31 18:17:24.347","0xDC","0x2B","False","False","False","True","78468","0","VK_OEM_5","OEM5キー"
"08/31 18:17:24.898","0xA0","0x2A","False","False","False","False","79015","0","VK_LSHIFT","左Shiftキー"
"08/31 18:17:25.077","0xA0","0x2A","False","False","False","True","79187","0","VK_LSHIFT","左Shiftキー"
"08/31 18:17:25.077","0x5A","0x2C","False","False","False","False","79187","0","VK_Z","Zキー"
"08/31 18:17:25.147","0x58","0x2D","False","False","False","False","79265","0","VK_X","Xキー"
"08/31 18:17:25.152","0x5A","0x2C","False","False","False","True","79265","0","VK_Z","Zキー"
"08/31 18:17:25.200","0x43","0x2E","False","False","False","False","79312","0","VK_C","Cキー"
"08/31 18:17:25.200","0x58","0x2D","False","False","False","True","79312","0","VK_X","Xキー"
"08/31 18:17:25.262","0x56","0x2F","False","False","False","False","79375","0","VK_V","Vキー"
"08/31 18:17:25.264","0x43","0x2E","False","False","False","True","79375","0","VK_C","Cキー"
"08/31 18:17:25.322","0x42","0x30","False","False","False","False","79421","0","VK_B","Bキー"
"08/31 18:17:25.322","0x56","0x2F","False","False","False","True","79437","0","VK_V","Vキー"
"08/31 18:17:25.392","0x4E","0x31","False","False","False","False","79468","0","VK_N","Nキー"
"08/31 18:17:25.397","0x42","0x30","False","False","False","True","79515","0","VK_B","Bキー"
"08/31 18:17:25.397","0x4E","0x31","False","False","False","True","79515","0","VK_N","Nキー"
"08/31 18:17:25.397","0x4D","0x32","False","False","False","False","79515","0","VK_M","Mキー"
"08/31 18:17:25.469","0xBC","0x33","False","False","False","False","79578","0","VK_OEM_COMMA",",キー"
"08/31 18:17:25.469","0x4D","0x32","False","False","False","True","79593","0","VK_M","Mキー"
"08/31 18:17:25.537","0xBE","0x34","False","False","False","False","79625","0","VK_OEM_PERIOD",".キー"
"08/31 18:17:25.542","0xBC","0x33","False","False","False","True","79656","0","VK_OEM_COMMA",",キー"
"08/31 18:17:25.612","0xBF","0x35","False","False","False","False","79687","0","VK_OEM_2","OEM2キー"
"08/31 18:17:25.617","0xBE","0x34","False","False","False","True","79734","0","VK_OEM_PERIOD",".キー"
"08/31 18:17:25.700","0xFF","0x73","False","False","False","False","79750","0","",""
"08/31 18:17:25.704","0xBF","0x35","False","False","False","True","79828","0","VK_OEM_2","OEM2キー"
"08/31 18:17:25.817","0xFF","0x73","False","False","False","True","79937","0","",""
"08/31 18:17:27.192","0xA1","0x36","True","False","False","False","81312","0","VK_RSHIFT","右Shiftキー"
"08/31 18:17:27.252","0xA1","0x36","True","False","False","True","81359","0","VK_RSHIFT","右Shiftキー"
"08/31 18:17:28.147","0xFF","0x63","True","False","False","False","82265","0","",""
"08/31 18:17:28.147","0xA2","0x1D","False","False","False","False","82265","0","VK_LCONTROL","左Ctrlキー"
"08/31 18:17:28.207","0xFF","0x63","True","False","False","True","82281","0","",""
"08/31 18:17:28.264","0xA2","0x1D","False","False","False","True","82359","0","VK_LCONTROL","左Ctrlキー"
"08/31 18:17:28.267","0x5B","0x5B","True","False","False","False","82390","0","VK_LWIN","左Windowsキー"
"08/31 18:17:28.317","0xA4","0x38","False","False","True","False","82406","0","VK_LMENU","左Altキー"
"08/31 18:17:28.328","0x5B","0x5B","True","False","True","True","82453","0","VK_LWIN","左Windowsキー"
"08/31 18:17:28.382","0xA4","0x38","False","False","False","True","82468","0","VK_LMENU","左Altキー"
"08/31 18:17:28.387","0xFF","0x7B","False","False","False","False","82500","0","",""
"08/31 18:17:28.437","0x20","0x39","False","False","False","False","82515","0","VK_SPACE","スペースキー"
"08/31 18:17:28.442","0xFF","0x7B","False","False","False","True","82562","0","",""
"08/31 18:17:28.577","0xFF","0x79","False","False","False","False","82703","0","",""
"08/31 18:17:28.627","0x20","0x39","False","False","False","True","82718","0","VK_SPACE","スペースキー"
"08/31 18:17:28.687","0xFF","0x70","False","False","False","False","82781","0","",""
"08/31 18:17:28.687","0xFF","0x79","False","False","False","True","82812","0","",""
"08/31 18:17:28.744","0x19","0x38","True","False","False","False","82843","0","VK_KANJI","IME 漢字モード"
"08/31 18:17:28.747","0xFF","0x70","False","False","False","True","82859","0","",""
"08/31 18:17:28.787","0x19","0x38","True","False","False","True","82890","0","VK_KANJI","IME 漢字モード"
"08/31 18:17:28.787","0x2C","0x37","True","False","False","False","82906","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 18:17:28.857","0xF2","0x1D","True","False","False","True","82968","0","VK_OEM_COPY","OEM固有"
"08/31 18:17:28.867","0xF1","0x1D","True","False","False","False","82968","0","VK_OEM_FINISH","OEM固有"
"08/31 18:17:28.871","0x2C","0x37","True","False","False","True","82984","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 18:17:28.998","0x21","0x49","True","False","False","False","83109","0","VK_PRIOR","PageUpキー"
"08/31 18:17:29.342","0x26","0x48","True","False","False","False","83453","0","VK_UP","↑キー"
"08/31 18:17:29.349","0x21","0x49","True","False","False","True","83468","0","VK_PRIOR","PageUpキー"
"08/31 18:17:29.462","0x26","0x48","True","False","False","True","83578","0","VK_UP","↑キー"
"08/31 18:17:29.477","0x22","0x51","True","False","False","False","83593","0","VK_NEXT","PageDownキー"
"08/31 18:17:29.628","0x22","0x51","True","False","False","True","83750","0","VK_NEXT","PageDownキー"
"08/31 18:17:29.866","0x25","0x4B","True","False","False","False","83984","0","VK_LEFT","←キー"
"08/31 18:17:29.999","0x25","0x4B","True","False","False","True","84125","0","VK_LEFT","←キー"
"08/31 18:17:30.008","0x28","0x50","True","False","False","False","84125","0","VK_DOWN","↓キー"
"08/31 18:17:30.062","0x28","0x50","True","False","False","True","84171","0","VK_DOWN","↓キー"
"08/31 18:17:30.065","0x27","0x4D","True","False","False","False","84187","0","VK_RIGHT","→キー"
"08/31 18:17:30.138","0x27","0x4D","True","False","False","True","84250","0","VK_RIGHT","→キー"
"08/31 18:17:30.578","0x0D","0x1C","False","False","False","False","84703","0","VK_RETURN","Enterキー"
"08/31 18:17:30.643","0x0D","0x1C","False","False","False","True","84750","0","VK_RETURN","Enterキー"
