"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 17:58:52.297","0x1B","0x01","False","False","False","False","2620421","0","VK_ESCAPE","Escキー"
"08/31 17:58:52.392","0x1B","0x01","False","False","False","True","2620515","0","VK_ESCAPE","Escキー"
"08/31 17:58:53.565","0x70","0x3B","False","False","False","False","2621687","0","VK_F1","F1キー"
"08/31 17:58:53.660","0x70","0x3B","False","False","False","True","2621781","0","VK_F1","F1キー"
"08/31 17:58:53.935","0x71","0x3C","False","False","False","False","2622046","0","VK_F2","F2キー"
"08/31 17:58:54.014","0x71","0x3C","False","False","False","True","2622140","0","VK_F2","F2キー"
"08/31 17:58:54.287","0x72","0x3D","False","False","False","False","2622406","0","VK_F3","F3キー"
"08/31 17:58:54.382","0x72","0x3D","False","False","False","True","2622500","0","VK_F3","F3キー"
"08/31 17:58:54.628","0x73","0x3E","False","False","False","False","2622750","0","VK_F4","F4キー"
"08/31 17:58:54.730","0x73","0x3E","False","False","False","True","2622843","0","VK_F4","F4キー"
"08/31 17:58:54.991","0x74","0x3F","False","False","False","False","2623109","0","VK_F5","F5キー"
"08/31 17:58:55.086","0x74","0x3F","False","False","False","True","2623203","0","VK_F5","F5キー"
"08/31 17:58:55.343","0x75","0x40","False","False","False","False","2623468","0","VK_F6","F6キー"
"08/31 17:58:55.438","0x75","0x40","False","False","False","True","2623562","0","VK_F6","F6キー"
"08/31 17:58:55.657","0x76","0x41","False","False","False","False","2623781","0","VK_F7","F7キー"
"08/31 17:58:55.775","0x76","0x41","False","False","False","True","2623890","0","VK_F7","F7キー"
"08/31 17:58:55.977","0x77","0x42","False","False","False","False","2624093","0","VK_F8","F8キー"
"08/31 17:58:56.097","0x77","0x42","False","False","False","True","2624218","0","VK_F8","F8キー"
"08/31 17:58:56.318","0x78","0x43","False","False","False","False","2624437","0","VK_F9","F9キー"
"08/31 17:58:56.427","0x78","0x43","False","False","False","True","2624546","0","VK_F9","F9キー"
"08/31 17:58:56.669","0x79","0x44","False","False","False","False","2624781","0","VK_F10","F10キー"
"08/31 17:58:56.787","0x79","0x44","False","False","False","True","2624906","0","VK_F10","F10キー"
"08/31 17:58:57.002","0x7A","0x57","False","False","False","False","2625125","0","VK_F11","F11キー"
"08/31 17:58:57.121","0x7A","0x57","False","False","False","True","2625234","0","VK_F11","F11キー"
"08/31 17:58:57.333","0x7B","0x58","False","False","False","False","2625453","0","VK_F12","F12キー"
"08/31 17:58:57.420","0x7B","0x58","False","False","False","True","2625546","0","VK_F12","F12キー"
"08/31 17:58:57.648","0x24","0x47","True","False","False","False","2625765","0","VK_HOME","Homeキー"
"08/31 17:58:57.775","0x24","0x47","True","False","False","True","2625890","0","VK_HOME","Homeキー"
"08/31 17:58:57.955","0x23","0x4F","True","False","False","False","2626078","0","VK_END","Endキー"
"08/31 17:58:58.089","0x23","0x4F","True","False","False","True","2626203","0","VK_END","Endキー"
"08/31 17:58:58.232","0x2E","0x53","True","False","False","False","2626343","0","VK_DELETE","Deleteキー"
"08/31 17:58:58.319","0x2E","0x53","True","False","False","True","2626437","0","VK_DELETE","Deleteキー"
"08/31 17:58:58.958","0xC0","0x29","False","False","False","False","2627078","0","VK_OEM_3","OEM3キー"
"08/31 17:58:59.061","0xC0","0x29","False","False","False","True","2627187","0","VK_OEM_3","OEM3キー"
"08/31 17:58:59.261","0x31","0x02","False","False","False","False","2627375","0","VK_1","1キー"
"08/31 17:58:59.356","0x31","0x02","False","False","False","True","2627468","0","VK_1","1キー"
"08/31 17:58:59.572","0x32","0x03","False","False","False","False","2627687","0","VK_2","2キー"
"08/31 17:58:59.675","0x32","0x03","False","False","False","True","2627796","0","VK_2","2キー"
"08/31 17:58:59.890","0x33","0x04","False","False","False","False","2628015","0","VK_3","3キー"
"08/31 17:59:00.008","0x33","0x04","False","False","False","True","2628125","0","VK_3","3キー"
"08/31 17:59:00.241","0x34","0x05","False","False","False","False","2628359","0","VK_4","4キー"
"08/31 17:59:00.336","0x34","0x05","False","False","False","True","2628453","0","VK_4","4キー"
"08/31 17:59:00.546","0x35","0x06","False","False","False","False","2628671","0","VK_5","5キー"
"08/31 17:59:00.672","0x35","0x06","False","False","False","True","2628796","0","VK_5","5キー"
"08/31 17:59:00.850","0x36","0x07","False","False","False","False","2628968","0","VK_6","6キー"
"08/31 17:59:00.985","0x36","0x07","False","False","False","True","2629109","0","VK_6","6キー"
"08/31 17:59:01.163","0x37","0x08","False","False","False","False","2629281","0","VK_7","7キー"
"08/31 17:59:01.281","0x37","0x08","False","False","False","True","2629406","0","VK_7","7キー"
"08/31 17:59:01.481","0x38","0x09","False","False","False","False","2629593","0","VK_8","8キー"
"08/31 17:59:01.608","0x38","0x09","False","False","False","True","2629718","0","VK_8","8キー"
"08/31 17:59:01.798","0x39","0x0A","False","False","False","False","2629921","0","VK_9","9キー"
"08/31 17:59:01.916","0x39","0x0A","False","False","False","True","2630031","0","VK_9","9キー"
"08/31 17:59:02.100","0x30","0x0B","False","False","False","False","2630218","0","VK_0","0キー"
"08/31 17:59:02.210","0x30","0x0B","False","False","False","True","2630328","0","VK_0","0キー"
"08/31 17:59:02.421","0xBD","0x0C","False","False","False","False","2630546","0","VK_OEM_MINUS","-キー"
"08/31 17:59:02.531","0xBD","0x0C","False","False","False","True","2630656","0","VK_OEM_MINUS","-キー"
"08/31 17:59:02.708","0xBB","0x0D","False","False","False","False","2630828","0","VK_OEM_PLUS","+キー"
"08/31 17:59:02.811","0xBB","0x0D","False","False","False","True","2630937","0","VK_OEM_PLUS","+キー"
"08/31 17:59:02.991","0xFF","0x7D","False","False","False","False","2631109","0","",""
"08/31 17:59:03.093","0xFF","0x7D","False","False","False","True","2631218","0","",""
"08/31 17:59:03.269","0x08","0x0E","False","False","False","False","2631390","0","VK_BACK","Backspaceキー"
"08/31 17:59:03.348","0x08","0x0E","False","False","False","True","2631468","0","VK_BACK","Backspaceキー"
"08/31 17:59:04.250","0x09","0x0F","False","False","False","False","2632375","0","VK_TAB","Tabキー"
"08/31 17:59:04.304","0x09","0x0F","False","False","False","True","2632421","0","VK_TAB","Tabキー"
"08/31 17:59:04.510","0x51","0x10","False","False","False","False","2632625","0","VK_Q","Qキー"
"08/31 17:59:04.589","0x51","0x10","False","False","False","True","2632703","0","VK_Q","Qキー"
"08/31 17:59:04.804","0x57","0x11","False","False","False","False","2632921","0","VK_W","Wキー"
